0_0 0
0_1 0
0_2 0
0_3 0
0_4 0
0_5 0
0_6 0
0_7 0
0_8 0
0_9 3.13878e-05
0_10 0.000194111
0_11 0.000548483
0_12 0.00110159
0_13 0.00182824
0_14 0.00262064
0_15 0.00330647
0_16 0.00380507
0_17 0.00405499
0_18 0.00411375
0_19 0.00408746
0_20 0.00403669
0_21 0.00401224
0_22 0.00387049
0_23 0.00353598
0_24 0.00294037
0_25 0.00214759
0_26 0.00128687
0_27 0.000600635
0_28 0.000166958
0_29 8.61898e-06
0_30 2.93933e-08
0_31 0
0_32 0
0_33 0
0_34 0
0_35 0
0_36 0
0_37 0
0_38 0
0_39 0
1_0 0
1_1 1.47262e-08
1_2 1.83823e-05
1_3 0.000121772
1_4 0.000364027
1_5 0.000806241
1_6 0.00145693
1_7 0.00224684
1_8 0.00304187
1_9 0.00371415
1_10 0.00417486
1_11 0.00438206
1_12 0.00440357
1_13 0.00437206
1_14 0.00431093
1_15 0.0042626
1_16 0.00407557
1_17 0.00367451
1_18 0.00308197
1_19 0.00229619
1_20 0.00147274
1_21 0.0007542
1_22 0.000273333
1_23 3.91576e-05
1_24 1.51456e-06
1_25 0
1_26 0
1_27 0
1_28 0
1_29 0
1_30 0
1_31 0
1_32 0
1_33 0
1_34 0
1_35 0
1_36 0
1_37 0
1_38 0
1_39 0
2_0 0
2_1 1.47262e-08
2_2 1.96293e-05
2_3 0.000122684
2_4 0.000368781
2_5 0.000809031
2_6 0.00145239
2_7 0.00224139
2_8 0.00302493
2_9 0.00369903
2_10 0.00416117
2_11 0.00437571
2_12 0.00440154
2_13 0.00436297
2_14 0.00429526
2_15 0.00422786
2_16 0.00405147
2_17 0.00368231
2_18 0.0030785
2_19 0.00228836
2_20 0.00147155
2_21 0.000759709
2_22 0.000274156
2_23 3.93632e-05
2_24 1.70572e-06
2_25 0
2_26 0
2_27 0
2_28 0
2_29 0
2_30 0
2_31 0
2_32 0
2_33 0
2_34 0
2_35 0
2_36 0
2_37 0
2_38 0
2_39 0
3_0 0
3_1 0
3_2 0
3_3 0
3_4 0
3_5 0
3_6 0
3_7 0
3_8 0
3_9 3.07701e-05
3_10 0.000194626
3_11 0.000544662
3_12 0.00111142
3_13 0.00184207
3_14 0.00261699
3_15 0.00331415
3_16 0.00380918
3_17 0.00407416
3_18 0.00409705
3_19 0.00407636
3_20 0.00404789
3_21 0.00400411
3_22 0.00387378
3_23 0.00353429
3_24 0.00294784
3_25 0.00215179
3_26 0.00129652
3_27 0.000598208
3_28 0.0001669
3_29 8.85431e-06
3_30 0
3_31 0
3_32 0
3_33 0
3_34 0
3_35 0
3_36 0
3_37 0
3_38 0
3_39 0
